Gene,Count
Lypd6b,4
Lypd6,4
Mmadhc,4
Gm13483,4
Gm13498,4
Rnd3,4
Gm13497,4
1700057H21Rik,4
Tas2r134,4
Gm13490,4
Rbm43,4
Nmi,4
Tnfaip6,4
Rif1,4
Neb,4
4930573O16Rik,4
Arl5a,4
Cacnb4,4
Stam2,4
Fmnl2,4
Prpf40a,4
Arl6ip6,4
Rprm,4
Galnt13,4
Kcnj3,4
Mir195b,4
Nr4a2,4
BB557941,4
4930555B11Rik,4
Gpd2,4
Galnt5,4
Ermn,4
Cytip,4
Gm13546,4
Acvr1c,4
Gm13544,4
Acvr1,4
Upp2,4
Ccdc148,4
Pkp4,4
5330411J11Rik,4
Dapl1,4
Tanc1,4
Wdsub1,4
Baz2b,4
7-Mar,4
Cd302,4
Ly75,4
Gm13580,4
Pla2r1,4
Itgb6,4
Rbms1,4
Gm13582,4
Tank,4
Psmd14,4
Tbr1,4
Slc4a10,4
Dpp4,4
Gcg,4
Fap,4
Ifih1,4
Gca,4
Kcnh7,4
Fign,4
Grb14,4
Cobll1,4
Slc38a11,4
Mir6337,4
Scn3a,4
Scn2a1,4
Csrnp3,4
Galnt3,4
Ttc21b,4
Scn1a,4
Gm13629,4
Scn9a,4
Scn7a,4
Gm1322,4
Xirp2,4
Mir7224,4
Mir6335,4
B3galt1,4
Stk39,4
4933409G03Rik,4
4932414N04Rik,4
Cers6,4
Nostrin,4
Spc25,4
G6pc2,4
Abcb11,4
Dhrs9,4
Lrp2,4
Bbs5,4
Klhl41,4
Fastkd1,4
Ppig,4
Ccdc173,4
Phospho2,4
Klhl23,4
Ssb,4
Mettl5,4
Ubr3,4
Myo3b,4
Sp5,4
Gad1os,4
Erich2,4
Gad1,4
Gorasp2,4
Tlk1,4
Mettl8,4
Dcaf17,4
Cybrd1,4
Dync1i2,4
Slc25a12,4
Hat1,4
Mir5098,4
Metap1d,4
Dlx1,4
Dlx1as,4
Dlx2,4
Platr26,4
Itga6,4
Pdk1,4
Rapgef4,4
Zak,4
Cdca7,4
8430437L04Rik,4
6430710C18Rik,4
Sp3,4
Sp3os,4
Ola1,4
Sp9,4
Cir1,4
Scrn3,4
Gpr155,4
Wipf1,4
Chrna1,4
Chn1os3,4
Chn1,4
Atf2,4
Atp5g3,4
4930441J16Rik,4
Lnpk1,4
Evx2,4
Hoxd13,4
Hoxd12,4
Hoxd11,4
Hoxd10,4
Hoxd9,4
Hoxd8,4
Hoxd3os1,4
Hoxd3,4
Hoxd4,4
Mir10b,4
Haglr,4
LOC102634401,4
Hoxd1,4
Mtx2,4
9430019J16Rik,4
Hnrnpa3,4
Gm6793,4
Nfe2l2,4
Agps,4
Ttc30b,4
Ttc30a2,4
Ttc30a1,4
Pde11a,4
Cyct,4
Rbm45,4
Osbpl6,4
Prkra,4
Dfnb59,4
Fkbp7,4
Plekha3,4
Ttn,4
Ccdc141,4
Sestd1,4
Zfp385b,4
Gm13944,4
Cwc22,4
4930440I19Rik,4
Gm14461,4
Ube2e3,4
