Array	Sample	Batch	Covariate
MB-3706	Basal	2	group 2
MB-4024	Basal	2	group 2
MB-4146	Basal	2	group 2
MB-4235	Basal	2	group 2
MB-4254	Basal	2	group 2
MB-4303	Basal	2	group 2
MB-4332	Basal	2	group 2
MB-4407	Basal	2	group 2
MB-4408	Basal	2	group 2
MB-4417	Basal	2	group 2
MB-4426	Basal	2	group 2
MB-4601	Basal	2	group 2
MB-4621	Basal	2	group 2
MB-4660	Basal	2	group 2
MB-4663	Basal	2	group 2
MB-4679	Basal	2	group 2
MB-4694	Basal	2	group 2
MB-4707	Basal	2	group 2
MB-4714	Basal	2	group 2
MB-4715	Basal	2	group 2
MB-4717	Basal	2	group 2
MB-4732	Basal	2	group 2
MB-4757	Basal	2	group 2
MB-4758	Basal	2	group 2
MB-4769	Basal	2	group 2
MB-4792	Basal	2	group 2
MB-4793	Basal	2	group 2
MB-4809	Basal	2	group 2
MB-4880	Basal	2	group 2
MB-4881	Basal	2	group 2
MB-4896	Basal	2	group 2
MB-4911	Basal	2	group 2
MB-4938	Basal	2	group 2
MB-4945	Basal	2	group 2
MB-4974	Basal	2	group 2
MB-5054	Basal	2	group 2
MB-5057	Basal	2	group 2
MB-5070	Basal	2	group 2
MB-5102	Basal	2	group 2
MB-5114	Basal	2	group 2
MB-5115	Basal	2	group 2
MB-5126	Basal	2	group 2
MB-5135	Basal	2	group 2
MB-5138	Basal	2	group 2
MB-5173	Basal	2	group 2
MB-5188	Basal	2	group 2
MB-5190	Basal	2	group 2
MB-5199	Basal	2	group 2
MB-5205	Basal	2	group 2
MB-5208	Basal	2	group 2
MB-5209	Basal	2	group 2
MB-5225	Basal	2	group 2
MB-5229	Basal	2	group 2
MB-5232	Basal	2	group 2
MB-5235	Basal	2	group 2
MB-5236	Basal	2	group 2
MB-5258	Basal	2	group 2
MB-5294	Basal	2	group 2
MB-5295	Basal	2	group 2
MB-5298	Basal	2	group 2
MB-5299	Basal	2	group 2
MB-5335	Basal	2	group 2
MB-5346	Basal	2	group 2
MB-5378	Basal	2	group 2
MB-5390	Basal	2	group 2
MB-5420	Basal	2	group 2
MB-5421	Basal	2	group 2
MB-5426	Basal	2	group 2
MB-5427	Basal	2	group 2
MB-5442	Basal	2	group 2
MB-5458	Basal	2	group 2
MB-5465	Basal	2	group 2
MB-5468	Basal	2	group 2
MB-5470	Basal	2	group 2
MB-5482	Basal	2	group 2
MB-5513	Basal	2	group 2
MB-5526	Basal	2	group 2
MB-5529	Basal	2	group 2
MB-5530	Basal	2	group 2
MB-5547	Basal	2	group 2
MB-5551	Basal	2	group 2
MB-5558	Basal	2	group 2
MB-5559	Basal	2	group 2
MB-5560	Basal	2	group 2
MB-5566	Basal	2	group 2
MB-5602	Basal	2	group 2
MB-5624	Basal	2	group 2
MB-5634	Basal	2	group 2
MB-5655	Basal	2	group 2
MB-6058	Basal	2	group 2
MB-6068	Basal	2	group 2
MB-6098	Basal	2	group 2
MB-6122	Basal	2	group 2
MB-6152	Basal	2	group 2
MB-6157	Basal	2	group 2
MB-6169	Basal	2	group 2
MB-6178	Basal	2	group 2
MB-6223	Basal	2	group 2
MB-6237	Basal	2	group 2
MB-6242	Basal	2	group 2
MB-6245	Basal	2	group 2
MB-6248	Basal	2	group 2
MB-6251	Basal	2	group 2
MB-6280	Basal	2	group 2
MB-6336	Basal	2	group 2
MB-6337	Basal	2	group 2
MB-6363	Basal	2	group 2
MB-7007	Basal	2	group 2
MB-7009	Basal	2	group 2
MB-7012	Basal	2	group 2
MB-7014	Basal	2	group 2
MB-7030	Basal	2	group 2
MB-7031	Basal	2	group 2
MB-7036	Basal	2	group 2
MB-7038	Basal	2	group 2
MB-7039	Basal	2	group 2
MB-7049	Basal	2	group 2
MB-7055	Basal	2	group 2
MB-7073	Basal	2	group 2
MB-7084	Basal	2	group 2
MB-7087	Basal	2	group 2
MB-7090	Basal	2	group 2
MB-7111	Basal	2	group 2
MB-7114	Basal	2	group 2
MB-7119	Basal	2	group 2
MB-7122	Basal	2	group 2
MB-7145	Basal	2	group 2
MB-7151	Basal	2	group 2
MB-7154	Basal	2	group 2
MB-7155	Basal	2	group 2
MB-7159	Basal	2	group 2
MB-7165	Basal	2	group 2
MB-7198	Basal	2	group 2
MB-7205	Basal	2	group 2
MB-7208	Basal	2	group 2
MB-7225	Basal	2	group 2
MB-7258	Basal	2	group 2
MB-7267	Basal	2	group 2
