"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"876","Unaltered",2.8,3891,0,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
"877","Unaltered",2.827,3888,1,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"878","Unaltered",2.866666667,3887,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"879","Unaltered",2.9,3886,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"880","Unaltered",2.96,3884,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"881","Unaltered",3,3883,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"882","Unaltered",3.02,3881,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"883","Unaltered",3.1,3880,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"884","Unaltered",3.2,3875,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"885","Unaltered",3.22,3869,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"886","Unaltered",3.3,3868,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"887","Unaltered",3.366666667,3864,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"888","Unaltered",3.4,3863,0,0.998217953153644,0.000674170062773029,0.996899829859307,0.999537819300138
"889","Unaltered",3.5,3859,1,0.997959280452645,0.000722269591932759,0.996547546430508,0.999373014372286
"890","Unaltered",3.6,3852,0,0.997959280452645,0.000722269591932759,0.996547546430508,0.999373014372286
"891","Unaltered",3.7,3848,0,0.997959280452645,0.000722269591932759,0.996547546430508,0.999373014372286
"892","Unaltered",3.766666667,3845,0,0.997959280452645,0.000722269591932759,0.996547546430508,0.999373014372286
"893","Unaltered",3.8,3844,0,0.997959280452645,0.000722269591932759,0.996547546430508,0.999373014372286
"894","Unaltered",3.81,3842,1,0.997699530509789,0.000767748170937538,0.996199362375825,0.999201957734168
"895","Unaltered",3.88,3841,0,0.997699530509789,0.000767748170937538,0.996199362375825,0.999201957734168
"896","Unaltered",3.9,3840,0,0.997699530509789,0.000767748170937538,0.996199362375825,0.999201957734168
"897","Unaltered",4,3838,0,0.997699530509789,0.000767748170937538,0.996199362375825,0.999201957734168
"898","Unaltered",4.1,3837,0,0.997699530509789,0.000767748170937538,0.996199362375825,0.999201957734168
"899","Unaltered",4.166666667,3833,1,0.997439238432954,0.000810875935686247,0.995855279606247,0.999025716627301
"900","Unaltered",4.2,3832,0,0.997439238432954,0.000810875935686247,0.995855279606247,0.999025716627301
"901","Unaltered",4.3,3830,0,0.997439238432954,0.000810875935686247,0.995855279606247,0.999025716627301
"902","Unaltered",4.34,3823,0,0.997439238432954,0.000810875935686247,0.995855279606247,0.999025716627301
"903","Unaltered",4.4,3822,0,0.997439238432954,0.000810875935686247,0.995855279606247,0.999025716627301
"904","Unaltered",4.433333333,3817,1,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"905","Unaltered",4.5,3816,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"906","Unaltered",4.6,3809,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"907","Unaltered",4.7,3808,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"908","Unaltered",4.8,3802,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"909","Unaltered",4.89,3796,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"910","Unaltered",4.9,3795,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"911","Unaltered",5,3793,0,0.997177923463493,0.00085215864523603,0.99551382671691,0.998844801907233
"912","Unaltered",5.066666667,3789,1,0.996914746392112,0.0008921028546073,0.99517317446379,0.998659366104337
"913","Unaltered",5.1,3788,0,0.996914746392112,0.0008921028546073,0.99517317446379,0.998659366104337
"914","Unaltered",5.2,3786,0,0.996914746392112,0.0008921028546073,0.99517317446379,0.998659366104337
"915","Unaltered",5.26,3784,1,0.996651291120867,0.000930432652809229,0.994835439595159,0.998470457080934
"916","Unaltered",5.3,3782,0,0.996651291120867,0.000930432652809229,0.994835439595159,0.998470457080934
"917","Unaltered",5.35,3779,0,0.996651291120867,0.000930432652809229,0.994835439595159,0.998470457080934
"918","Unaltered",5.4,3778,0,0.996651291120867,0.000930432652809229,0.994835439595159,0.998470457080934
"919","Unaltered",5.433333333,3767,0,0.996651291120867,0.000930432652809229,0.994835439595159,0.998470457080934
"920","Unaltered",5.5,3766,1,0.996386646593219,0.000967590722679219,0.994498846761799,0.998278029926234
"921","Unaltered",5.58,3759,0,0.996386646593219,0.000967590722679219,0.994498846761799,0.998278029926234
"922","Unaltered",5.6,3757,0,0.996386646593219,0.000967590722679219,0.994498846761799,0.998278029926234
"923","Unaltered",5.65,3753,1,0.996121155880031,0.00100361755609526,0.994163657396748,0.998082508658615
"924","Unaltered",5.7,3751,0,0.996121155880031,0.00100361755609526,0.994163657396748,0.998082508658615
"925","Unaltered",5.72,3747,1,0.995855310895809,0.00103850480889208,0.993830376612686,0.997884370992499
"926","Unaltered",5.8,3746,1,0.995589465911587,0.00107227530272421,0.993499311333356,0.997684017821665
"927","Unaltered",5.833333333,3741,1,0.995323336677182,0.00110510049646266,0.993169841987822,0.997481500798879
"928","Unaltered",5.85,3740,0,0.995323336677182,0.00110510049646266,0.993169841987822,0.997481500798879
"929","Unaltered",5.9,3739,0,0.995323336677182,0.00110510049646266,0.993169841987822,0.997481500798879
"930","Unaltered",6.1,3729,1,0.995056422400787,0.00113718102938423,0.992841076688309,0.997276711257481
"931","Unaltered",6.11,3719,0,0.995056422400787,0.00113718102938423,0.992841076688309,0.997276711257481
"932","Unaltered",6.14,3718,0,0.995056422400787,0.00113718102938423,0.992841076688309,0.997276711257481
"933","Unaltered",6.2,3717,0,0.995056422400787,0.00113718102938423,0.992841076688309,0.997276711257481
"934","Unaltered",6.266666667,3714,1,0.994788501985493,0.00116863021463531,0.992512573121709,0.997069649777816
"935","Unaltered",6.3,3713,0,0.994788501985493,0.00116863021463531,0.992512573121709,0.997069649777816
"936","Unaltered",6.4,3705,0,0.994788501985493,0.00116863021463531,0.992512573121709,0.997069649777816
"937","Unaltered",6.44,3695,0,0.994788501985493,0.00116863021463531,0.992512573121709,0.997069649777816
"938","Unaltered",6.47,3694,1,0.994519203527998,0.00119958322969228,0.99218369634871,0.996860208271703
"939","Unaltered",6.5,3693,1,0.994249905070503,0.00122977354852336,0.991856338508034,0.996649247833281
"940","Unaltered",6.57,3689,0,0.994249905070503,0.00122977354852336,0.991856338508034,0.996649247833281
"941","Unaltered",6.6,3688,0,0.994249905070503,0.00122977354852336,0.991856338508034,0.996649247833281
"942","Unaltered",6.7,3679,0,0.994249905070503,0.00122977354852336,0.991856338508034,0.996649247833281
"943","Unaltered",6.8,3675,0,0.994249905070503,0.00122977354852336,0.991856338508034,0.996649247833281
"944","Unaltered",6.9,3668,1,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"945","Unaltered",7,3663,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"946","Unaltered",7.03,3654,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"947","Unaltered",7.06,3653,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"948","Unaltered",7.1,3652,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"949","Unaltered",7.13,3646,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"950","Unaltered",7.16,3645,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
"951","Unaltered",7.2,3644,0,0.993978844572938,0.0012596385789881,0.991527890391011,0.996435857259583
