"","Event","time","n.risk","n.event","n.censor","surv","std.err","lower","upper"
"1638","Diploid",71.83333333,2143,0,1,0.756213477576987,0.00981734477712603,0.741801785383678,0.770905159487181
"1639","Diploid",71.9,2142,1,1,0.755860436737782,0.00982844404658036,0.74143934312033,0.770562022539865
"1640","Diploid",71.94,2140,0,2,0.755860436737782,0.00982844404658036,0.74143934312033,0.770562022539865
"1641","Diploid",71.98,2138,0,1,0.755860436737782,0.00982844404658036,0.74143934312033,0.770562022539865
"1642","Diploid",72,2137,0,2,0.755860436737782,0.00982844404658036,0.74143934312033,0.770562022539865
"1643","Diploid",72.01,2135,1,0,0.755506403746336,0.00983960359071317,0.741075855525379,0.770217949817114
"1644","Diploid",72.04,2134,0,1,0.755506403746336,0.00983960359071317,0.741075855525379,0.770217949817114
"1645","Diploid",72.17,2133,0,1,0.755506403746336,0.00983960359071317,0.741075855525379,0.770217949817114
"1646","Diploid",72.2,2132,1,0,0.755152038641389,0.00985078187452122,0.740712030507662,0.769873551363018
"1647","Diploid",72.26666667,2131,0,1,0.755152038641389,0.00985078187452122,0.740712030507662,0.769873551363018
"1648","Diploid",72.3,2130,0,2,0.755152038641389,0.00985078187452122,0.740712030507662,0.769873551363018
"1649","Diploid",72.36666667,2128,0,1,0.755152038641389,0.00985078187452122,0.740712030507662,0.769873551363018
"1650","Diploid",72.43333333,2127,1,0,0.754797007123457,0.0098620000268507,0.740347509569246,0.769528518160351
"1651","Diploid",72.46666667,2126,1,0,0.754441975605525,0.00987321597315217,0.739983007501636,0.769183466086968
"1652","Diploid",72.5,2125,2,0,0.753731912569661,0.00989564133711657,0.739254059828275,0.768493305478618
"1653","Diploid",72.56666667,2123,1,0,0.753376881051729,0.00990685079931547,0.738889614147675,0.768148197018499
"1654","Diploid",72.6,2122,0,1,0.753376881051729,0.00990685079931547,0.738889614147675,0.768148197018499
"1655","Diploid",72.66666667,2121,0,1,0.753376881051729,0.00990685079931547,0.738889614147675,0.768148197018499
"1656","Diploid",72.7,2120,0,1,0.753376881051729,0.00990685079931547,0.738889614147675,0.768148197018499
"1657","Diploid",72.789,2119,0,1,0.753376881051729,0.00990685079931547,0.738889614147675,0.768148197018499
"1658","Diploid",72.8,2118,0,1,0.753376881051729,0.00990685079931547,0.738889614147675,0.768148197018499
"1659","Diploid",72.9,2117,1,2,0.753021011008719,0.00991811112927182,0.738524288111447,0.767802294587533
"1660","Diploid",73,2114,1,2,0.752664804286388,0.00992939062465926,0.738158619922185,0.767456062046916
"1661","Diploid",73.13333333,2111,2,0,0.751951715888201,0.00995198595687465,0.737426616522472,0.766762916279926
"1662","Diploid",73.29,2109,0,1,0.751951715888201,0.00995198595687465,0.737426616522472,0.766762916279926
"1663","Diploid",73.3,2108,0,1,0.751951715888201,0.00995198595687465,0.737426616522472,0.766762916279926
"1664","Diploid",73.4,2107,1,1,0.751594833251329,0.0099633018935791,0.737060280305715,0.766416002142713
"1665","Diploid",73.46,2105,0,1,0.751594833251329,0.0099633018935791,0.737060280305715,0.766416002142713
"1666","Diploid",73.46666667,2104,1,0,0.751237611372407,0.00997463723814236,0.736693599278677,0.766068755440665
"1667","Diploid",73.5,2103,1,1,0.750880389493486,0.00998597048258314,0.736326937211512,0.765721489778839
"1668","Diploid",73.59,2101,0,1,0.750880389493486,0.00998597048258314,0.736326937211512,0.765721489778839
"1669","Diploid",73.7,2100,1,1,0.750522827403251,0.00999732323573563,0.735959929319415,0.765373890633246
"1670","Diploid",73.78,2098,0,1,0.750522827403251,0.00999732323573563,0.735959929319415,0.765373890633246
"1671","Diploid",73.8,2097,0,1,0.750522827403251,0.00999732323573563,0.735959929319415,0.765373890633246
"1672","Diploid",73.83333333,2096,1,0,0.750164753535215,0.0100087064205273,0.735592391684545,0.765025799353129
"1673","Diploid",73.85,2095,0,1,0.750164753535215,0.0100087064205273,0.735592391684545,0.765025799353129
"1674","Diploid",73.9,2094,0,1,0.750164753535215,0.0100087064205273,0.735592391684545,0.765025799353129
"1675","Diploid",74.03333333,2093,0,1,0.750164753535215,0.0100087064205273,0.735592391684545,0.765025799353129
"1676","Diploid",74.08,2092,0,3,0.750164753535215,0.0100087064205273,0.735592391684545,0.765025799353129
"1677","Diploid",74.1,2089,1,1,0.749805651211837,0.0100201529768057,0.735223770309542,0.764676738284057
"1678","Diploid",74.2,2087,0,1,0.749805651211837,0.0100201529768057,0.735223770309542,0.764676738284057
"1679","Diploid",74.203,2086,0,1,0.749805651211837,0.0100201529768057,0.735223770309542,0.764676738284057
"1680","Diploid",74.3,2085,1,0,0.74944603219447,0.0100316303690092,0.734854614057219,0.764327180407824
"1681","Diploid",74.34,2084,0,1,0.74944603219447,0.0100316303690092,0.734854614057219,0.764327180407824
"1682","Diploid",74.4,2083,0,1,0.74944603219447,0.0100316303690092,0.734854614057219,0.764327180407824
"1683","Diploid",74.46666667,2082,2,0,0.748726103249038,0.0100546229116635,0.734115618504425,0.76362736816382
"1684","Diploid",74.5,2080,1,1,0.748366138776322,0.0100661160398139,0.733746149665264,0.76327743310473
"1685","Diploid",74.531,2078,0,1,0.748366138776322,0.0100661160398139,0.733746149665264,0.76327743310473
"1686","Diploid",74.56666667,2077,0,1,0.748366138776322,0.0100661160398139,0.733746149665264,0.76327743310473
"1687","Diploid",74.67,2076,1,0,0.748005654123732,0.0100776403274577,0.733376142304224,0.762926997929217
