"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"428","WT",21.02,1730,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"429","WT",21.1,1729,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"430","WT",21.12,1728,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"431","WT",21.16,1726,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"432","WT",21.2,1725,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"433","WT",21.25,1724,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"434","WT",21.29,1723,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"435","WT",21.4,1722,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"436","WT",21.42,1720,0,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
"437","WT",21.5,1719,1,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"438","WT",21.501,1716,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"439","WT",21.52,1715,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"440","WT",21.567,1714,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"441","WT",21.6,1713,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"442","WT",21.62,1711,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"443","WT",21.65,1710,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"444","WT",21.68,1708,0,0.959342728292803,0.00456045671287059,0.95080601435376,0.967956088239315
"445","WT",21.7,1707,2,0.958218718066333,0.0046351858571342,0.949552918322493,0.966963603539626
"446","WT",21.71,1702,0,0.958218718066333,0.0046351858571342,0.949552918322493,0.966963603539626
"447","WT",21.81,1701,0,0.958218718066333,0.0046351858571342,0.949552918322493,0.966963603539626
"448","WT",21.88,1700,0,0.958218718066333,0.0046351858571342,0.949552918322493,0.966963603539626
"449","WT",21.9,1698,0,0.958218718066333,0.0046351858571342,0.949552918322493,0.966963603539626
"450","WT",21.994,1695,1,0.957653397288712,0.00467260297823436,0.948923117134516,0.966463997745148
"451","WT",22,1694,2,0.956522755733472,0.00474668251714896,0.947665178319861,0.965463122595754
"452","WT",22.027,1691,1,0.955957100644333,0.00478340001061581,0.947036605392981,0.964961621407557
"453","WT",22.08,1690,0,0.955957100644333,0.00478340001061581,0.947036605392981,0.964961621407557
"454","WT",22.17,1689,0,0.955957100644333,0.00478340001061581,0.947036605392981,0.964961621407557
"455","WT",22.2,1687,2,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
"456","WT",22.24,1685,0,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
"457","WT",22.3,1684,0,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
"458","WT",22.31,1682,0,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
"459","WT",22.34,1680,0,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
"460","WT",22.37,1679,0,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
"461","WT",22.44,1678,0,0.954823778651868,0.00485638735353562,0.945778553248653,0.963955510671579
