"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"1826","Unaltered",82.36666667,1921,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1827","Unaltered",82.4,1920,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1828","Unaltered",82.56,1918,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1829","Unaltered",82.62,1917,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1830","Unaltered",82.63333333,1916,1,0.728172344682531,0.0107717351897766,0.712960161484289,0.743709104947147
"1831","Unaltered",82.7,1914,0,0.728172344682531,0.0107717351897766,0.712960161484289,0.743709104947147
"1832","Unaltered",82.73333333,1912,1,0.727791501406023,0.0107844315691355,0.712569542251423,0.743338633090131
"1833","Unaltered",82.79,1911,1,0.727410658129515,0.0107971262899671,0.712178944332569,0.742968139919237
"1834","Unaltered",82.8,1910,0,0.727410658129515,0.0107971262899671,0.712178944332569,0.742968139919237
"1835","Unaltered",82.96666667,1909,0,0.727410658129515,0.0107971262899671,0.712178944332569,0.742968139919237
"1836","Unaltered",83,1908,1,0.727029415646219,0.0108098459944579,0.711787939717446,0.742597256459145
"1837","Unaltered",83.1,1907,0,0.727029415646219,0.0108098459944579,0.711787939717446,0.742597256459145
"1838","Unaltered",83.13333333,1906,1,0.726647973140633,0.0108225774174908,0.711396741991644,0.742226166781619
"1839","Unaltered",83.2,1905,0,0.726647973140633,0.0108225774174908,0.711396741991644,0.742226166781619
"1840","Unaltered",83.25,1904,1,0.726266330297597,0.0108353206017631,0.711005350828031,0.741854870585235
"1841","Unaltered",83.28,1903,0,0.726266330297597,0.0108353206017631,0.711005350828031,0.741854870585235
"1842","Unaltered",83.36666667,1902,2,0.725502643304645,0.0108608290015691,0.710222202298447,0.741111843221206
"1843","Unaltered",83.4,1900,2,0.724738956311693,0.0108863312007181,0.709439138919533,0.740368730707056
